list_date,ticker
2025-11-28,0001
2025-11-28,0002
2025-11-28,0007
2025-11-28,0008
2025-11-28,0010
2025-11-28,0011
2025-11-28,0012
2025-11-28,0017
2025-11-28,0022
2025-11-28,0023
2025-11-28,0024
2025-11-28,0025
2025-11-28,0026
2025-11-28,0028
2025-11-28,0032
2025-11-28,0034
2025-11-28,0035
2025-11-28,0036
2025-11-28,0038
2025-11-28,0039
2025-11-28,0040
2025-11-28,0043
2025-11-28,0045
2025-11-28,0048
2025-11-28,0049
2025-11-28,0050
2025-11-28,0051
2025-11-28,0054
2025-11-28,0055
2025-11-28,0056
2025-11-28,0059
2025-11-28,0060
2025-11-28,0064
2025-11-28,0065
2025-11-28,0068
2025-11-28,0069
2025-11-28,0070
2025-11-28,0072
2025-11-28,0078
2025-11-28,0079
2025-11-28,0080
2025-11-28,0081
2025-11-28,0082
2025-11-28,0083
2025-11-28,0084
2025-11-28,0086
2025-11-28,0089
2025-11-28,0091
2025-11-28,0093
2025-11-28,0094
2025-11-28,0096
2025-11-28,0097
2025-11-28,0098
2025-11-28,0100
2025-11-28,0101
2025-11-28,0102
2025-11-28,0104
2025-11-28,0105
2025-11-28,0107
2025-11-28,0109
2025-11-28,0111
2025-11-28,0112
2025-11-28,0113
2025-11-28,0117
2025-11-28,0118
2025-11-28,0123
2025-11-28,0126
2025-11-28,0127
2025-11-28,0128
2025-11-28,0129
2025-11-28,0131
2025-11-28,0132
2025-11-28,0133
2025-11-28,0136
2025-11-28,0138
2025-11-28,0143
2025-11-28,0145
2025-11-28,0146
2025-11-28,0151
2025-11-28,0155
2025-11-28,0156
2025-11-28,0157
2025-11-28,0158
2025-11-28,0159
2025-11-28,0160
2025-11-28,0161
2025-11-28,0162
2025-11-28,0163
2025-11-28,0165
2025-11-28,0166
2025-11-28,0167
2025-11-28,0168
2025-11-28,0170
2025-11-28,0172
2025-11-28,0174
2025-11-28,0175
2025-11-28,0176
2025-11-28,0177
2025-11-28,0178
2025-11-28,0179
2025-11-28,0180
2025-11-28,0181
2025-11-28,0183
2025-11-28,0185
2025-11-28,0186
2025-11-28,0187
2025-11-28,0188
2025-11-28,0190
2025-11-28,0191
2025-11-28,0192
2025-11-28,0193
2025-11-28,0195
2025-11-28,0196
2025-11-28,0197
2025-11-28,0198
2025-11-28,0199
2025-11-28,0200
2025-11-28,0201
2025-11-28,0202
2025-11-28,0203
2025-11-28,0205
2025-11-28,0206
2025-11-28,0207
2025-11-28,0208
2025-11-28,0209
2025-11-28,0211
2025-11-28,0212
2025-11-28,0213
2025-11-28,0215
2025-11-28,0216
2025-11-28,0217
2025-11-28,0218
2025-11-28,0219
2025-11-28,0221
2025-11-28,0222
2025-11-28,0223
2025-11-28,0225
2025-11-28,0226
2025-11-28,0227
2025-11-28,0228
2025-11-28,0229
2025-11-28,0230
2025-11-28,0231
2025-11-28,0232
2025-11-28,0233
2025-11-28,0235
2025-11-28,0236
2025-11-28,0237
2025-11-28,0238
2025-11-28,0239
2025-11-28,0240
2025-11-28,0241
2025-11-28,0243
2025-11-28,0245
2025-11-28,0246
2025-11-28,0248
2025-11-28,0249
2025-11-28,0250
2025-11-28,0251
2025-11-28,0252
2025-11-28,0253
2025-11-28,0256
2025-11-28,0257
