date,ticker,value
2021-12-09,5100.KL,1.5
2019-11-04,5102.KL,2.0
2025-06-17,5102.KL,2.33333333
2025-07-01,5115.KL,0.1
2016-12-19,5125.KL,1.2
2019-03-20,5125.KL,1.01
2020-07-29,5125.KL,1.01
2022-07-15,5126.KL,1.5
2024-01-16,5136.KL,16.0
2021-03-10,5140.KL,4.0
2020-03-11,5142.KL,1.005
2017-09-06,5143.KL,3.0
2017-05-09,5147.KL,2.0
2021-06-17,5147.KL,2.0
2022-02-14,5149.KL,1.025
2021-06-25,5151.KL,1.6
2023-04-17,5151.KL,3.0
2026-06-03,5151.KL,1.02
2020-09-03,5152.KL,2.0
2026-04-23,5157.KL,0.1
2020-12-14,5160.KL,1.25
2021-08-02,5162.KL,2.0
2026-06-05,5162.KL,3.0
2024-03-11,5166.KL,0.1
2018-03-23,5168.KL,2.0
2018-12-18,5184.KL,1.5
2022-06-30,5192.KL,1.125
2022-09-02,5196.KL,5.0
2023-12-13,5196.KL,1.01
2022-09-14,5197.KL,1.02
2022-10-31,5197.KL,2.0
2022-12-13,5197.KL,1.04
2023-10-18,5199.KL,0.4
2021-01-27,5208.KL,2.0
2017-04-11,5211.KL,1.01
2017-09-27,5211.KL,2.33333333
2019-04-01,5211.KL,1.01
2019-10-01,5211.KL,1.01
2020-09-30,5216.KL,2.0
2025-08-21,5218.KL,0.05
2021-12-09,5219.KL,1.25
2018-12-12,5220.KL,0.05
2019-03-13,5226.KL,1.02
2017-09-19,5236.KL,1.25
2022-09-20,5236.KL,1.5
2025-02-24,5236.KL,1.5
2022-02-10,5238.KL,0.1
2017-12-26,5239.KL,2.0
2017-11-07,5242.KL,2.0
2017-08-09,5252.KL,1.5
2017-12-26,5253.KL,2.0
2020-01-22,5255.KL,0.02
2023-11-27,5255.KL,0.2
2023-09-29,5265.KL,0.1
2017-01-06,5267.KL,1.2
2021-02-11,5271.KL,1.0625
2021-10-18,5271.KL,1.02439024
2022-06-03,5271.KL,4.0
2019-04-29,5272.KL,1.2
2020-09-17,5272.KL,1.01
2021-04-19,5272.KL,1.01
2021-09-22,5272.KL,1.005
2021-12-21,5272.KL,1.005
2022-03-21,5272.KL,1.005
2024-05-20,5272.KL,1.005
2021-03-30,5273.KL,1.5
2022-08-18,5273.KL,2.0
2024-05-02,5273.KL,2.0
2017-05-16,5276.KL,2.0
2017-12-14,5277.KL,1.4
2019-12-04,5286.KL,1.5
2026-09-01,5286.KL,1.015
2021-03-25,5289.KL,2.25
2020-02-10,5292.KL,1.5
2021-02-16,5292.KL,2.0
2021-09-20,5293.KL,1.5
2022-06-22,5296.KL,1.5
2025-06-16,5302.KL,3.0
2024-06-06,5308.KL,1.33333333
2026-01-09,5340.KL,1.25
2024-12-19,5398.KL,2.0
2017-04-10,5401.KL,1.012
2019-09-19,5401.KL,1.03
2020-10-28,5401.KL,1.045
2024-03-21,5568.KL,1.01785714
2018-12-14,5576.KL,1.55
2022-01-27,5673.KL,2.0
2018-02-22,5789.KL,1.1
2020-07-29,5789.KL,1.03
2018-07-26,5797.KL,1.2
2022-08-04,5797.KL,1.5
2021-05-03,5827.KL,2.0
2018-06-07,5843.KL,1.07692308
2017-09-21,5878.KL,4.0
2018-08-13,5916.KL,2.0
2025-07-14,5916.KL,2.0
2024-05-08,5932.KL,0.2
2018-07-05,6041.KL,1.2
2017-11-29,6254.KL,0.25
2021-08-09,6254.KL,0.1
2019-01-24,6521.KL,1.2
2024-06-28,6602.KL,1.01
2020-11-23,6637.KL,2.0
2024-09-24,6718.KL,3.0
2018-05-04,6963.KL,1.25
2021-05-17,6963.KL,2.0
2016-12-28,6971.KL,1.5
2021-05-28,6971.KL,3.0
2024-01-08,7004.KL,2.0
2021-01-14,7006.KL,1.02
2021-03-12,7006.KL,2.0
2024-09-17,7010.KL,2.0
2017-02-13,7013.KL,0.05
2018-01-02,7017.KL,1.33333333
2021-02-09,7017.KL,1.8
2023-10-24,7017.KL,0.2
2018-05-24,7022.KL,2.0
2021-02-22,7031.KL,1.5
2021-09-02,7033.KL,3.0
2020-10-16,7034.KL,2.0
2018-06-11,7035.KL,2.0
2017-05-24,7036.KL,1.5
2021-08-06,7043.KL,2.0
2020-02-27,7045.KL,0.2
2019-01-08,7050.KL,1.25
2021-12-01,7050.KL,2.2
2024-12-17,7052.KL,1.5
2017-11-21,7055.KL,1.25
2018-06-25,7060.KL,1.1
2024-06-26,7060.KL,2.0
2022-07-29,7066.KL,0.2
2018-10-15,7070.KL,0.14285714
2024-10-02,7070.KL,0.2
2020-01-29,7077.KL,0.2
2018-12-12,7078.KL,1.125
2018-06-01,7079.KL,0.25
